species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Melao virus	35515	YES	4	0	0	0	4	0	0.0000
Trivittatus virus	35516	YES	4	0	0	0	4	0	0.0000
Mogibacterium timidum	35519	YES	7315	0	0	7315	0	0	0.0000
Daphnia pulicaria	35523	YES	27597	0	27597	0	0	0	1.0000
Daphnia magna	35525	YES	28196	0	28183	0	13	0	0.9995
Daphnia similis	35528	YES	13	0	0	0	13	0	0.0000
Pezoporus wallicus	35540	YES	36869	0	36869	0	0	0	1.0000
Geobacter sulfurreducens	35554	YES	10949	0	0	10949	0	0	0.0000
Ixodes angustus	35564	YES	13	0	0	0	13	0	0.0000
Stomoxys calcitrans	35570	YES	26017	42	25975	0	0	0	0.9984
Mchenga conophoros	35575	YES	54693	0	54693	0	0	0	1.0000
Peanut chlorotic streak virus	35593	YES	4	4	0	0	0	0	0.0000
Artemisia annua	35608	YES	87	0	0	0	87	0	0.0000
Vesicular exanthema of swine virus	35612	YES	12	12	0	0	0	0	0.0000
Pyrodictium brockii	35616	YES	669	0	0	669	0	0	0.0000
Streptomyces griseoflavus	35619	YES	29118	0	0	29118	0	0	0.0000
Streptomyces hirsutus	35620	YES	89658	0	0	89658	0	0	0.0000
Streptomyces mobaraensis	35621	YES	18984	0	0	18984	0	0	0.0000
Thermostaphylospora chromogena	35622	YES	5100	0	0	5100	0	0	0.0000
Acholeplasma oculi	35623	YES	1515	0	0	1515	0	0	0.0000
Datura metel	35625	YES	87	0	0	0	87	0	0.0000
Torulaspora pretoriensis	35629	YES	8	0	0	0	8	0	0.0000
Conus imperialis	35631	YES	13	0	0	0	13	0	0.0000
Clarias macrocephalus	35657	YES	13	0	0	0	13	0	0.0000
Mastomys coucha	35658	YES	54407	0	54394	0	13	0	0.9998
Larus argentatus	35669	YES	58312	0	58312	0	0	0	1.0000
Naja naja	35670	YES	13	0	0	0	13	0	0.0000
Gloydius ussuriensis	35671	YES	13	0	0	0	13	0	0.0000
Pelagomonas calceolata	35677	YES	37	0	0	0	37	0	0.0000
Pseudopedinella elastica	35684	YES	114	0	0	0	114	0	0.0000
Porphyridium purpureum	35688	YES	224	0	0	0	224	0	0.0000
Heliophilum fasciatum	35700	YES	2907	0	0	2907	0	0	0.0000
Heliomicrobium modesticaldum	35701	YES	2552	0	0	2552	0	0	0.0000
Citrobacter amalonaticus	35703	YES	70084	0	0	70084	0	0	0.0000
Arundo donax	35708	YES	97	0	0	0	97	0	0.0000
Chusquea circinata	35710	YES	84	0	0	0	84	0	0.0000
Epichloe festucae	35717	YES	60	0	0	0	60	0	0.0000
Parasitella parasitica	35722	YES	42	0	0	0	42	0	0.0000
Macrophomina phaseolina	35725	YES	52	0	0	0	52	0	0.0000
Trematomus newnesi	35730	YES	13	0	0	0	13	0	0.0000
Rattus tanezumi	35732	YES	13	0	0	0	13	0	0.0000
Halorubrum sodomense	35743	YES	1346	0	0	1346	0	0	0.0000
Haloferax denitrificans	35745	YES	5332	0	0	5332	0	0	0.0000
Haloferax gibbonsii	35746	YES	4856	0	0	4856	0	0	0.0000
Natronococcus sp.	35747	YES	7040	0	0	7040	0	0	0.0000
Thermococcus sp.	35749	YES	63396	0	0	63396	0	0	0.0000
Sporichthya	35750	YES	100	0	0	100	0	0	0.0000
Sporichthya polymorpha	35751	YES	5055	0	0	5055	0	0	0.0000
Actinoplanes philippinensis	35752	YES	18563	0	0	18563	0	0	0.0000
Dactylosporangium	35753	YES	5540	0	0	5540	0	0	0.0000
Dactylosporangium aurantiacum	35754	YES	10743	0	0	10743	0	0	0.0000
Corynebacterium kutscheri	35755	YES	3887	0	0	3887	0	0	0.0000
Corynebacterium pilosum	35756	YES	2570	0	0	2570	0	0	0.0000
Corynebacterium cystitidis	35757	YES	10237	0	0	10237	0	0	0.0000
Bifidobacterium choerinum	35760	YES	6039	0	0	6039	0	0	0.0000
Nocardioides sp.	35761	YES	217698	0	0	217698	0	0	0.0000
Planobispora rosea	35762	YES	10843	0	0	10843	0	0	0.0000
Acrocarpospora corrugata	35763	YES	8586	0	0	8586	0	0	0.0000
Streptosporangium nondiastaticum	35764	YES	7249	0	0	7249	0	0	0.0000
Streptosporangium pseudovulgare	35765	YES	6966	0	0	6966	0	0	0.0000
Mycoplasmopsis felifaucium	35768	YES	1189	0	0	1189	0	0	0.0000
Metamycoplasma gateae	35769	YES	564	0	0	564	0	0	0.0000
Tomato big bud phytoplasma	35770	YES	5	0	0	5	0	0	0.0000
Peanut witches'-broom phytoplasma	35772	YES	44	0	0	44	0	0	0.0000
Candidatus Phytoplasma luffae	35773	YES	505	0	0	505	0	0	0.0000
Aster yellows phytoplasma	35779	YES	6	0	0	6	0	0	0.0000
Candidatus Phytoplasma fraxini	35780	YES	519	0	0	519	0	0	0.0000
Enterococcus sp.	35783	YES	29527	0	0	29527	0	0	0.0000
Coprothermobacter proteolyticus	35786	YES	4143	0	0	4143	0	0	0.0000
Limosilactobacillus pontis	35787	YES	10222	0	0	10222	0	0	0.0000
Rickettsia africae	35788	YES	947	0	0	947	0	0	0.0000
Rickettsia helvetica	35789	YES	1360	0	0	1360	0	0	0.0000
Rickettsia japonica	35790	YES	994	0	0	994	0	0	0.0000
Rickettsia massiliae	35791	YES	1086	0	0	1086	0	0	0.0000
Rickettsia parkeri	35792	YES	1827	0	0	1827	0	0	0.0000
Rickettsia sibirica	35793	YES	2010	0	0	2010	0	0	0.0000
Rickettsia slovaca	35794	YES	1116	0	0	1116	0	0	0.0000
Ehrlichia muris	35795	YES	1610	0	0	1610	0	0	0.0000
Nitrococcus mobilis	35797	YES	3265	0	0	3265	0	0	0.0000
Nitrosospira	35798	YES	3257	0	0	3257	0	0	0.0000
Nitrosospira briensis	35799	YES	7400	0	0	7400	0	0	0.0000
Nitrospina	35800	YES	2454	0	0	2454	0	0	0.0000
Nitrospina gracilis	35801	YES	3266	0	0	3266	0	0	0.0000
Rhodovulum adriaticum	35804	YES	5548	0	0	5548	0	0	0.0000
Rhodovulum euryhalinum	35805	YES	3612	0	0	3612	0	0	0.0000
Rhodovulum sulfidophilum	35806	YES	37018	0	0	37018	0	0	0.0000
Xanthobacter sp.	35809	YES	5647	0	0	5647	0	0	0.0000
Erythrobacter ramosus	35811	YES	3191	0	0	3191	0	0	0.0000
Roseococcus	35812	YES	209	0	0	209	0	0	0.0000
Roseococcus thiosulfatophilus	35813	YES	3801	0	0	3801	0	0	0.0000
Bordetella holmesii	35814	YES	5471	0	0	5471	0	0	0.0000
Helicobacter heilmannii	35817	YES	7704	0	0	7704	0	0	0.0000
Helicobacter pullorum	35818	YES	25725	0	0	25725	0	0	0.0000
Pseudobacteroides cellulosolvens	35825	YES	5974	0	0	5974	0	0	0.0000
Chlamydia sp.	35827	YES	859	0	0	859	0	0	0.0000
Fibrobacter sp.	35828	YES	51826	0	0	51826	0	0	0.0000
Acetivibrio	35829	YES	229	0	0	229	0	0	0.0000
Acetivibrio cellulolyticus	35830	YES	4914	0	0	4914	0	0	0.0000
Bilophila	35832	YES	4942	0	0	4942	0	0	0.0000
Bilophila wadsworthia	35833	YES	134871	0	0	134871	0	0	0.0000
Hydrogenobacter hydrogenophilus	35835	YES	1704	0	0	1704	0	0	0.0000
Desulfacinum	35836	YES	6	0	0	6	0	0	0.0000
Desulfacinum infernum	35837	YES	3584	0	0	3584	0	0	0.0000
Holophaga foetida	35839	YES	3518	0	0	3518	0	0	0.0000
Caldibacillus thermoamylovorans	35841	YES	10812	0	0	10812	0	0	0.0000
Zygnema circumcarinatum	35869	YES	156	0	0	0	156	0	0.0000
Sparganium eurycarpum	35871	YES	88	0	0	0	88	0	0.0000
Cenchrus ciliaris	35872	YES	86	0	0	0	86	0	0.0000
Dioscorea bulbifera	35874	YES	86	0	0	0	86	0	0.0000
Allium fistulosum	35875	YES	86	0	0	0	86	0	0.0000
Iris x hollandica	35876	YES	87	0	0	0	87	0	0.0000
Ipomoea cordatotriloba	35882	YES	86	0	0	0	86	0	0.0000
Ipomoea nil	35883	YES	51056	12	50927	0	117	0	0.9975
Ipomoea trifida	35884	YES	86	0	0	0	86	0	0.0000
Ipomoea triloba	35885	YES	42046	0	41961	0	85	0	0.9980
Cuscuta gronovii	35886	YES	62	0	0	0	62	0	0.0000
Galium odoratum	35899	YES	84	0	0	0	84	0	0.0000
Atriplex canescens	35922	YES	87	0	0	0	87	0	0.0000
Patellifolia webbiana	35923	YES	9	0	0	0	9	0	0.0000
Paeonia lactiflora	35924	YES	112	0	0	0	112	0	0.0000
Diospyros kaki	35925	YES	125	0	0	0	125	0	0.0000
Vasconcellea cundinamarcensis	35926	YES	84	0	0	0	84	0	0.0000
Podophyllum peltatum	35933	YES	81	0	0	0	81	0	0.0000
Parthenium argentatum	35935	YES	55	0	0	0	55	0	0.0000
Lablab purpureus	35936	YES	83	0	0	0	83	0	0.0000
Robinia pseudoacacia	35938	YES	80	0	0	0	80	0	0.0000
Aeonium arboreum	35945	YES	84	0	0	0	84	0	0.0000
Amelanchier bartramiana	35968	YES	85	0	0	0	85	0	0.0000
Santalum album	35974	YES	106	0	0	0	106	0	0.0000
Nageia nagi	36012	YES	81	0	0	0	81	0	0.0000
Ephedra antisyphilitica	36014	YES	67	0	0	0	67	0	0.0000
Pichia kluyveri	36015	YES	26	0	0	0	26	0	0.0000
Saccharomycodes ludwigii	36035	YES	5038	0	5026	0	12	0	0.9976
Barnettozyma californica	36038	YES	25	0	0	0	25	0	0.0000
Erysiphe pisi	36044	YES	84	0	0	0	84	0	0.0000
Fusarium poae	36050	YES	13851	0	13851	0	0	0	1.0000
Cantharellus cibarius	36066	YES	33	0	0	0	33	0	0.0000
Ganoderma sinense	36075	YES	48	0	0	0	48	0	0.0000
Trichuris trichiura	36087	YES	13	0	0	0	13	0	0.0000
Haliotis iris	36096	YES	13	0	0	0	13	0	0.0000
Haliotis laevigata	36097	YES	13	0	0	0	13	0	0.0000
Haliotis ovina	36099	YES	13	0	0	0	13	0	0.0000
Haliotis rubra	36100	YES	43422	0	43409	0	13	0	0.9997
Pollicipes polymerus	36137	YES	13	0	0	0	13	0	0.0000
Megaselia scalaris	36166	YES	13	0	0	0	13	0	0.0000
Chiloscyllium plagiosum	36176	YES	47682	0	47669	0	13	0	0.9997
Acipenser oxyrinchus	36177	YES	13	0	0	0	13	0	0.0000
Scaphirhynchus albus	36178	YES	13	0	0	0	13	0	0.0000
Scaphirhynchus suttkusi	36179	YES	13	0	0	0	13	0	0.0000
Coregonus artedi	36181	YES	13	0	0	0	13	0	0.0000
Thymallus thymallus	36185	YES	13	0	0	0	13	0	0.0000
Parachaenichthys charcoti	36187	YES	13	0	0	0	13	0	0.0000
Chionodraco hamatus	36188	YES	13	0	0	0	13	0	0.0000
Chaenocephalus aceratus	36190	YES	13	0	0	0	13	0	0.0000
Pagetopsis macropterus	36194	YES	13	0	0	0	13	0	0.0000
Trematomus eulepidotus	36195	YES	13	0	0	0	13	0	0.0000
Trematomus hansoni	36196	YES	13	0	0	0	13	0	0.0000
Trematomus nicolai	36197	YES	13	0	0	0	13	0	0.0000
Gobionotothen gibberifrons	36202	YES	13	0	0	0	13	0	0.0000
Trachurus trachurus	36212	YES	32614	0	32601	0	13	0	0.9996
Cercopithecus diana	36224	YES	13	0	0	0	13	0	0.0000
Cercopithecus mitis	36225	YES	13	0	0	0	13	0	0.0000
Cercopithecus neglectus	36227	YES	13	0	0	0	13	0	0.0000
Papio ursinus	36229	YES	13	0	0	0	13	0	0.0000
Mustela itatsi	36238	YES	13	0	0	0	13	0	0.0000
Mustela nivalis	36239	YES	69262	0	69249	0	13	0	0.9998
Mustela sibirica	36240	YES	13	0	0	0	13	0	0.0000
Ciconia nigra	36241	YES	13	0	0	0	13	0	0.0000
Streptopelia orientalis	36243	YES	13	0	0	0	13	0	0.0000
Alcedo atthis	36245	YES	13	0	0	0	13	0	0.0000
Gyps fulvus	36247	YES	13	0	0	0	13	0	0.0000
Corvus macrorhynchos	36249	YES	13	0	0	0	13	0	0.0000
Emberiza rustica	36250	YES	13	0	0	0	13	0	0.0000
Fringilla montifringilla	36255	YES	13	0	0	0	13	0	0.0000
Paradisaea raggiana	36268	YES	13	0	0	0	13	0	0.0000
Phylloscopus borealis	36273	YES	13	0	0	0	13	0	0.0000
Leiothrix lutea	36275	YES	13	0	0	0	13	0	0.0000
Turdus cardis	36279	YES	13	0	0	0	13	0	0.0000
Zosterops japonicus	36299	YES	13	0	0	0	13	0	0.0000
Pelecanus crispus	36300	YES	27135	1	27134	0	0	0	1.0000
Yungipicus kizuki	36303	YES	13	0	0	0	13	0	0.0000
Strix uralensis	36305	YES	44072	0	44059	0	13	0	0.9997
Deinagkistrodon acutus	36307	YES	13	0	0	0	13	0	0.0000
Gekko gecko	36310	YES	13	0	0	0	13	0	0.0000
Cucumaria frondosa	36326	YES	13	0	0	0	13	0	0.0000
Plasmodium falciparum 3D7	36329	YES	5354	0	5354	0	0	0	1.0000
Enterobacteria phage RB68	36339	YES	276	0	0	0	276	0	0.0000
Bracoviriform inaniti	36344	YES	29	1	0	0	28	0	0.0000
Pseudalatia unipuncta granulovirus	36355	YES	183	0	0	0	183	0	0.0000
Polyomavirus sp.	36362	YES	4	0	0	0	4	0	0.0000
Lymphocystis disease virus 1	36363	YES	110	110	0	0	0	0	0.0000
Jembrana disease virus	36370	YES	9	9	0	0	0	0	0.0000
Potato virus T	36403	YES	3	0	0	0	3	0	0.0000
Rotavirus C	36427	YES	11	0	0	0	11	0	0.0000
Plasmid pE5	36542	YES	1	0	0	1	0	0	0.0000
Eucalyptus obliqua	36592	YES	85	0	0	0	85	0	0.0000
Crataegus mollis	36593	YES	83	0	0	0	83	0	0.0000
Aronia arbutifolia	36594	YES	83	0	0	0	83	0	0.0000
Prunus cerasifera	36595	YES	85	0	0	0	85	0	0.0000
Prunus armeniaca	36596	YES	122	0	0	0	122	0	0.0000
Pyrus calleryana	36597	YES	84	0	0	0	84	0	0.0000
Sorbus aucuparia	36599	YES	119	0	0	0	119	0	0.0000
Vauquelinia californica	36600	YES	85	0	0	0	85	0	0.0000
Alniaria alnifolia	36602	YES	80	0	0	0	80	0	0.0000
Chaenomeles cathayensis	36604	YES	84	0	0	0	84	0	0.0000
Cormus domestica	36606	YES	83	0	0	0	83	0	0.0000
Cotoneaster coriaceus	36608	YES	83	0	0	0	83	0	0.0000
Cydonia oblonga	36610	YES	83	0	0	0	83	0	0.0000
Malacomeles denticulata	36614	YES	85	0	0	0	85	0	0.0000
Osteomeles schwerinae	36618	YES	84	0	0	0	84	0	0.0000
Pseudocydonia sinensis	36622	YES	84	0	0	0	84	0	0.0000
Rhaphiolepis indica	36624	YES	86	0	0	0	86	0	0.0000
Aspergillus terricola	36642	YES	18	0	0	0	18	0	0.0000
Aspergillus avenaceus	36643	YES	15	0	0	0	15	0	0.0000
Penicillium coprophilum	36646	YES	10974	0	10974	0	0	0	1.0000
Penicillium digitatum	36651	YES	9017	0	9002	0	15	0	0.9983
Penicillium crustosum	36656	YES	12297	0	12297	0	0	0	1.0000
Volvariella volvacea	36659	YES	32	0	0	0	32	0	0.0000
Philaenus spumarius	36667	YES	13	0	0	0	13	0	0.0000
Apteronotus albifrons	36673	YES	13	13	0	0	0	0	0.0000
Wallago attu	36718	YES	13	0	0	0	13	0	0.0000
Martes zibellina	36722	YES	13	0	0	0	13	0	0.0000
Mustela erminea	36723	YES	60443	0	60430	0	13	0	0.9998
Piranga rubra	36733	YES	13	0	0	0	13	0	0.0000
Halococcus salifodinae	36738	YES	2037	0	0	2037	0	0	0.0000
Dermabacter	36739	YES	5799	0	0	5799	0	0	0.0000
Dermabacter hominis	36740	YES	16266	0	0	16266	0	0	0.0000
Mycoplasma leonicaptivi	36742	YES	765	0	0	765	0	0	0.0000
Mycoplasma simbae	36744	YES	664	0	0	664	0	0	0.0000
Clostridium saccharoperbutylacetonicum	36745	YES	19254	0	0	19254	0	0	0.0000
Pseudomonas cichorii	36746	YES	32490	0	0	32490	0	0	0.0000
Geodia neptuni	36754	YES	14	0	0	0	14	0	0.0000
Subterranean clover stunt virus	36772	YES	14	6	0	0	8	0	0.0000
Burkholderia sp.	36773	YES	27576	0	0	27576	0	0	0.0000
Cuphea hookeriana	36775	YES	85	0	0	0	85	0	0.0000
Elaeagnus angustifolia	36777	YES	86	0	0	0	86	0	0.0000
Lythrurus ardens	36786	YES	13	0	0	0	13	0	0.0000
Lythrurus fumeus	36787	YES	13	0	0	0	13	0	0.0000
Lythrurus lirus	36790	YES	13	0	0	0	13	0	0.0000
Lythrurus umbratilis	36791	YES	13	0	0	0	13	0	0.0000
Opsopoeodus emiliae	36794	YES	13	0	0	0	13	0	0.0000
Melomys burtoni	36796	YES	13	0	0	0	13	0	0.0000
Melomys cervinipes	36797	YES	13	0	0	0	13	0	0.0000
Crocidura russula	36802	YES	13	0	0	0	13	0	0.0000
Microbacterium aurum	36805	YES	20961	0	0	20961	0	0	0.0000
Microbacterium dextranolyticum	36806	YES	2815	0	0	2815	0	0	0.0000
Microbacterium laevaniformans	36807	YES	8411	0	0	8411	0	0	0.0000
Corynebacterium bovis	36808	YES	24159	0	0	24159	0	0	0.0000
Mycobacteroides abscessus	36809	YES	275123	0	0	275123	0	0	0.0000
Mycolicibacterium agri	36811	YES	6861	0	0	6861	0	0	0.0000
Mycobacterium genavense	36812	YES	3698	0	0	3698	0	0	0.0000
Mycolicibacterium pulveris	36813	YES	14816	0	0	14816	0	0	0.0000
Mycolicibacterium rhodesiae	36814	YES	11337	0	0	11337	0	0	0.0000
Streptomyces caelestis	36816	YES	22418	0	0	22418	0	0	0.0000
Streptomyces pseudogriseolus	36817	YES	129728	0	0	129728	0	0	0.0000
Streptomyces subrutilus	36818	YES	29949	0	0	29949	0	0	0.0000
Amycolatopsis azurea	36819	YES	15888	0	0	15888	0	0	0.0000
Gordonia aichiensis	36820	YES	5982	0	0	5982	0	0	0.0000
Gordonia amarae	36821	YES	5265	0	0	5265	0	0	0.0000
Gordonia rubripertincta	36822	YES	22574	0	0	22574	0	0	0.0000
Gordonia sputi	36823	YES	11245	0	0	11245	0	0	0.0000
Lacrimispora aerotolerans	36832	YES	3890	0	0	3890	0	0	0.0000
Clostridium celatum	36834	YES	7700	0	0	7700	0	0	0.0000
[Clostridium] colinum	36835	YES	1884	0	0	1884	0	0	0.0000
Clostridium felsineum	36839	YES	13682	0	0	13682	0	0	0.0000
Terrisporobacter glycolicus	36841	YES	5913	0	0	5913	0	0	0.0000
Maledivibacter halophilus	36842	YES	5282	0	0	5282	0	0	0.0000
Clostridium homopropionicum	36844	YES	3547	0	0	3547	0	0	0.0000
Clostridium intestinale	36845	YES	18141	0	0	18141	0	0	0.0000
Anaerotignum neopropionicum	36847	YES	2671	0	0	2671	0	0	0.0000
Oxobacter pfennigii	36849	YES	4264	0	0	4264	0	0	0.0000
Desulfitobacterium	36853	YES	5434	0	0	5434	0	0	0.0000
Desulfitobacterium dehalogenans	36854	YES	2461	0	0	2461	0	0	0.0000
Brucella canis	36855	YES	2199	0	0	2199	0	0	0.0000
Sinorhizobium saheli	36856	YES	5560	0	0	5560	0	0	0.0000
Thiobacillus denitrificans	36861	YES	9469	0	0	9469	0	0	0.0000
Ideonella	36862	YES	685	0	0	685	0	0	0.0000
Ideonella dechloratans	36863	YES	10588	0	0	10588	0	0	0.0000
unclassified Enterobacteriaceae	36866	YES	43	0	0	43	0	0	0.0000
Paraburkholderia xenovorans	36873	YES	35295	0	0	35295	0	0	0.0000
Porphyromonas cangingivalis	36874	YES	7715	0	0	7715	0	0	0.0000
Porphyromonas canoris	36875	YES	2405	0	0	2405	0	0	0.0000
Cymbomonas tetramitiformis	36881	YES	107	0	0	0	107	0	0.0000
Pyramimonas parkeae	36894	YES	136	0	0	0	136	0	0.0000
Phalaris coerulescens	36899	YES	83	0	0	0	83	0	0.0000
Medicago scutellata	36901	YES	76	0	0	0	76	0	0.0000
Medicago x varia	36902	YES	76	0	0	0	76	0	0.0000
Clavispora lusitaniae	36911	YES	5503	0	5485	0	18	0	0.9967
Lodderomyces elongisporus	36914	YES	5630	0	5630	0	0	0	1.0000
Saccostrea cuccullata	36930	YES	56430	0	56418	0	12	0	0.9998
Onchidella celtica	36933	YES	13	0	0	0	13	0	0.0000
Lepidoglyphus destructor	36936	YES	13	0	0	0	13	0	0.0000
Eulimnogammarus verrucosus	36941	YES	13	0	0	0	13	0	0.0000
Gromphadorhina portentosa	36953	YES	13	0	0	0	13	0	0.0000
Panchlora nivea	36955	YES	13	0	0	0	13	0	0.0000
Pycnoscelus surinamensis	36961	YES	13	0	0	0	13	0	0.0000
Validiblatta australasiae	36975	YES	13	0	0	0	13	0	0.0000
Validiblatta brunnea	36976	YES	13	0	0	0	13	0	0.0000
Validiblatta fuliginosa	36977	YES	13	0	0	0	13	0	0.0000
Periplaneta lateralis	36981	YES	13	0	0	0	13	0	0.0000
Cryptocercus punctulatus	36984	YES	13	0	0	0	13	0	0.0000
Coptotermes formosanus	36987	YES	13	0	0	0	13	0	0.0000
Reticulitermes flavipes	36989	YES	13	0	0	0	13	0	0.0000
Kryptolebias marmoratus	37003	YES	42530	70	42460	0	0	0	0.9984
Prionailurus bengalensis	37029	YES	51608	0	51595	0	13	0	0.9997
Suricata suricatta	37032	YES	43282	0	43269	0	13	0	0.9997
Larus dominicanus	37036	YES	13	0	0	0	13	0	0.0000
Gavia stellata	37040	YES	24094	0	24081	0	13	0	0.9995
Fregata magnificens	37042	YES	13	0	0	0	13	0	0.0000
Phaethon aethereus	37045	YES	19862	0	19862	0	0	0	1.0000
Phalacrocorax brasilianus	37046	YES	14	0	0	0	14	0	0.0000
Daption capense	37055	YES	13	0	0	0	13	0	0.0000
Macronectes giganteus	37057	YES	13	0	0	0	13	0	0.0000
Aphrodroma brevirostris	37064	YES	13	0	0	0	13	0	0.0000
Pelecanoides urinatrix	37079	YES	13	0	0	0	13	0	0.0000
Spheniscus magellanicus	37081	YES	13	0	0	0	13	0	0.0000
Eudyptula minor	37083	YES	13	13	0	0	0	0	0.0000
Isochrysis galbana	37099	YES	132	0	0	0	132	0	0.0000
Lactobacillus phage JCL1032	37105	YES	77	0	0	0	77	0	0.0000
Meleagrid alphaherpesvirus 1	37108	YES	79	78	0	0	1	0	0.0000
Chikungunya virus	37124	YES	2	2	0	0	0	0	0.0000
Lilac ring mottle virus	37125	YES	4	0	0	0	4	0	0.0000
Citrus leaf rugose virus	37126	YES	5	5	0	0	0	0	0.0000
Citrus variegation virus	37127	YES	5	0	0	0	5	0	0.0000
Potato mop-top virus	37128	YES	8	8	0	0	0	0	0.0000
Dolphin morbillivirus	37131	YES	7	7	0	0	0	0	0.0000
Galleria mellonella densovirus	37138	YES	7	7	0	0	0	0	0.0000
Naemorhedus caudatus	37173	YES	13	0	0	0	13	0	0.0000
Ovis canadensis	37174	YES	64979	0	64966	0	13	0	0.9998
Ovibos moschatus	37176	YES	13	0	0	0	13	0	0.0000
Hemitragus jemlahicus	37179	YES	13	0	0	0	13	0	0.0000
Budorcas taxicolor	37181	YES	28977	0	28964	0	13	0	0.9996
Budorcas taxicolor taxicolor	37183	YES	13	0	0	0	13	0	0.0000
Hippotragus leucophaeus	37185	YES	13	0	0	0	13	0	0.0000
Hippotragus equinus	37186	YES	13	0	0	0	13	0	0.0000
Hippotragus niger	37189	YES	13	0	0	0	13	0	0.0000
Arctocephalus pusillus	37191	YES	13	0	0	0	13	0	0.0000
Gelidium elegans	37200	YES	223	0	0	0	223	0	0.0000
Helicoverpa armigera stunt virus	37206	YES	3	3	0	0	0	0	0.0000
Dicranopteris linearis	37229	YES	58	0	0	0	58	0	0.0000
Botrychium lunaria	37231	YES	83	0	0	0	83	0	0.0000
Gymnascella citrina	37245	YES	15	0	0	0	15	0	0.0000
Gambusia holbrooki	37273	YES	13	0	0	0	13	0	0.0000
Aotus nancymaae	37293	YES	56494	19	56462	0	13	0	0.9994
Cebus kaapori	37294	YES	13	0	0	0	13	0	0.0000
Cebus olivaceus	37295	YES	13	0	0	0	13	0	0.0000
Human gammaherpesvirus 8	37296	YES	86	0	0	0	86	0	0.0000
Phaeoceros laevis	37308	YES	38	0	0	0	38	0	0.0000
Atrichum angustatum	37310	YES	113	0	0	0	113	0	0.0000
Erinaceus concolor	37316	YES	13	0	0	0	13	0	0.0000
Pseudo-nitzschia pungens	37318	YES	169	0	0	0	169	0	0.0000
Pseudo-nitzschia multiseries	37319	YES	143	0	0	0	143	0	0.0000
Muscovy duck parvovirus	37325	YES	4	0	0	0	4	0	0.0000
Nocardia brasiliensis	37326	YES	109833	0	0	109833	0	0	0.0000
Nocardia brevicatena	37327	YES	6301	0	0	6301	0	0	0.0000
Nocardia carnea	37328	YES	40051	0	0	40051	0	0	0.0000
Nocardia farcinica	37329	YES	74594	0	0	74594	0	0	0.0000
Nocardia nova	37330	YES	62920	0	0	62920	0	0	0.0000
Pseudonocardia petroleophila	37331	YES	6431	0	0	6431	0	0	0.0000
Nocardia seriolae	37332	YES	17567	0	0	17567	0	0	0.0000
Nocardia transvalensis	37333	YES	15277	0	0	15277	0	0	0.0000
Citrus maxima	37334	YES	125	0	0	0	125	0	0.0000
Conus gloriamaris	37336	YES	13	0	0	0	13	0	0.0000
Athalia rosae	37344	YES	26342	10	26332	0	0	0	0.9996
Tupaia belangeri	37347	YES	13	13	0	0	0	0	0.0000
Mammuthus primigenius	37349	YES	13	0	0	0	13	0	0.0000
Diadromus pulchellus idnoreovirus 1	37368	YES	7	0	0	0	7	0	0.0000
Helicobacter bilis	37372	YES	14471	0	0	14471	0	0	0.0000
Reboulia hemisphaerica	37395	YES	87	0	0	0	87	0	0.0000
Metzgeria furcata	37399	YES	42	0	0	0	42	0	0.0000
Haplomitrium hookeri	37406	YES	43	0	0	0	43	0	0.0000
Bryum argenteum	37413	YES	72	0	0	0	72	0	0.0000
Tetraphis pellucida	37420	YES	123	0	0	0	123	0	0.0000
Takakia lepidozioides	37425	YES	61	0	0	0	61	0	0.0000
Isoetes engelmannii	37427	YES	84	0	0	0	84	0	0.0000
Huperzia lucidula	37429	YES	87	0	0	0	87	0	0.0000
Stichococcus bacillaris	37433	YES	85	0	0	0	85	0	0.0000
Polaromonas vacuolata	37448	YES	3291	0	0	3291	0	0	0.0000
Pisolithus tinctorius	37468	YES	22	0	0	0	22	0	0.0000
(name unavailable)	37480	YES	1	0	0	1	0	0	0.0000
Laceyella sacchari	37482	YES	6466	0	0	6466	0	0	0.0000
Sphaerimonospora mesophila	37483	YES	6763	0	0	6763	0	0	0.0000
Nonomuraea helvata	37484	YES	10318	0	0	10318	0	0	0.0000
Marichromatium purpuratum	37487	YES	2950	0	0	2950	0	0	0.0000
Anemone nemorosa	37489	YES	90	0	0	0	90	0	0.0000
Clematis vitalba	37490	YES	91	0	0	0	91	0	0.0000
Delphinium ajacis	37494	YES	82	0	0	0	82	0	0.0000
Renilla muelleri	37510	YES	14	0	0	0	14	0	0.0000
Buccinum undatum	37541	YES	13	0	0	0	13	0	0.0000
Cavia aperea	37548	YES	13	0	0	0	13	0	0.0000
Cervus nippon taiouanus	37550	YES	13	0	0	0	13	0	0.0000
Ruta graveolens	37565	YES	87	0	0	0	87	0	0.0000
Saguinus bicolor	37588	YES	13	0	0	0	13	0	0.0000
Urocitellus richardsonii	37591	YES	13	0	0	0	13	0	0.0000
Fringilla coelebs	37598	YES	26821	0	26808	0	13	0	0.9995
Chloris chloris	37601	YES	13	0	0	0	13	0	0.0000
Pyrrhula pyrrhula	37607	YES	13	0	0	0	13	0	0.0000
Coccothraustes coccothraustes	37609	YES	13	0	0	0	13	0	0.0000
Erithacus rubecula	37610	YES	36042	0	36042	0	0	0	1.0000
