species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Treponema phagedenis	162	YES	11004	0	0	11004	0	0	0.0000
Treponema bryantii	163	YES	10931	0	0	10931	0	0	0.0000
Treponema pectinovorum	164	YES	9370	0	0	9370	0	0	0.0000
Treponema saccharophilum	165	YES	3953	0	0	3953	0	0	0.0000
Treponema sp.	166	YES	141319	0	0	141319	0	0	0.0000
Treponema succinifaciens	167	YES	16193	0	0	16193	0	0	0.0000
Leptospira	171	YES	31247	0	0	31247	0	0	0.0000
Leptospira biflexa	172	YES	9700	0	0	9700	0	0	0.0000
Leptospira interrogans	173	YES	85876	0	0	85876	0	0	0.0000
Leptospira borgpetersenii	174	YES	21546	0	0	21546	0	0	0.0000
Leptospira sp.	178	YES	2132	0	0	2132	0	0	0.0000
Leptospirillum	179	YES	1441	0	0	1441	0	0	0.0000
Leptospirillum ferrooxidans	180	YES	2443	0	0	2443	0	0	0.0000
Leptonema illini	183	YES	4361	0	0	4361	0	0	0.0000
Aquaspirillum	187	YES	1030	0	0	1030	0	0	0.0000
Paramagnetospirillum magnetotacticum	188	YES	4033	0	0	4033	0	0	0.0000
Novispirillum itersonii	189	YES	7718	0	0	7718	0	0	0.0000
Aquaspirillum serpens	190	YES	2075	0	0	2075	0	0	0.0000
Azospirillum	191	YES	29160	0	0	29160	0	0	0.0000
Azospirillum brasilense	192	YES	54671	0	0	54671	0	0	0.0000
Azospirillum lipoferum	193	YES	5989	0	0	5989	0	0	0.0000
Campylobacter	194	YES	95519	0	0	95519	0	0	0.0000
Campylobacter coli	195	YES	183364	0	0	183364	0	0	0.0000
Campylobacter fetus	196	YES	27023	0	0	27023	0	0	0.0000
Campylobacter jejuni	197	YES	308527	0	0	308527	0	0	0.0000
Campylobacter hyointestinalis	198	YES	32263	0	0	32263	0	0	0.0000
Campylobacter concisus	199	YES	250194	0	0	250194	0	0	0.0000
Campylobacter curvus	200	YES	9540	0	0	9540	0	0	0.0000
Campylobacter lari	201	YES	62520	0	0	62520	0	0	0.0000
