Taxonomy	requested_species	selected_taxon	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	Biomphalaria glabrata	Biomphalaria glabrata	6526	YES	53167	65	53102	0	0	0	0.9988
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Gastropoda	Pomacea canaliculata	Pomacea canaliculata	400727	YES	40392	1	40378	0	13	0	0.9997
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Bivalvia	Magallana gigas	Magallana gigas	29159	YES	51078	159	50919	0	0	0	0.9969
Obazoa-Holozoa-Metazoa-Protostomia-Spiralia-Mollusca-Cephalopoda	Octopus bimaculoides	Octopus bimaculoides	37653	YES	29034	3	29018	0	13	0	0.9994
Discoba-Heterolobosea	Naegleria gruberi	Naegleria gruberi	5762	YES	15757	46	15711	0	0	0	0.9971
Discoba-Euglenozoa	Trypanosoma brucei	Trypanosoma brucei gambiense DAL972	679716	YES	9822	0	9822	0	0	0	1.0000
Discoba-Euglenozoa	Leishmania major	Leishmania major strain Friedlin	347515	YES	8316	0	8316	0	0	0	1.0000
Discoba-Euglenozoa	Leptomonas pyrrhocoris	Leptomonas pyrrhocoris	157538	YES	13893	0	13893	0	0	0	1.0000
SAR-Stramenopila	Phaeodactylum tricornutum	Phaeodactylum tricornutum CCAP 1055/1	556484	YES	10408	0	10408	0	0	0	1.0000
SAR-Stramenopila	Thalassiosira pseudonana	Thalassiosira pseudonana CCMP1335	296543	YES	11673	0	11673	0	0	0	1.0000
SAR-Stramenopila	Phytophthora infestans	Phytophthora infestans T30-4	403677	YES	17797	0	17797	0	0	0	1.0000
SAR-Alveolata	Tetrahymena thermophila	Tetrahymena thermophila SB210	312017	YES	26996	0	26996	0	0	0	1.0000
SAR-Alveolata	Paramecium tetraurelia	Paramecium tetraurelia	5888	YES	39642	0	39642	0	0	0	1.0000
SAR-Alveolata	Plasmodium falciparum	Plasmodium falciparum 3D7	36329	YES	5354	0	5354	0	0	0	1.0000
SAR-Alveolata	Toxoplasma gondii	Toxoplasma gondii ME49	508771	YES	8287	0	8287	0	0	0	1.0000
SAR-Rhizaria	Bigelowiella natans	Bigelowiella natans	227086	YES	316	0	283	0	33	0	0.8956
SAR-Rhizaria	Plasmodiophora brassicae	NA	NA	NO	0	0	0	0	0	0	NA
Archaeplastida-Rhodophyta	Cyanidioschyzon merolae	Cyanidioschyzon merolae strain 10D	280699	YES	5010	207	4803	0	0	0	0.9587
Archaeplastida-Rhodophyta	Chondrus crispus	Chondrus crispus	2769	YES	9836	25	9603	0	208	0	0.9763
Archaeplastida-Chlorophyta	Chlamydomonas reinhardtii	Chlamydomonas reinhardtii	3055	YES	19604	77	19527	0	0	0	0.9961
Archaeplastida-Chlorophyta	Ostreococcus tauri	Ostreococcus tauri	70448	YES	7764	0	7660	0	104	0	0.9866
Archaeplastida-Chlorophyta	Micromonas commoda	Micromonas commoda	296587	YES	10137	0	10041	0	96	0	0.9905
Archaeplastida-Bryophyta	Marchantia polymorpha	Marchantia polymorpha subsp. ruderalis	1480154	YES	155	0	0	0	155	0	0.0000
Archaeplastida-Bryophyta	Physcomitrium patens	Physcomitrium patens	3218	YES	47014	56	46832	0	126	0	0.9961
Archaeplastida-Angiosperm	Amborella trichopoda	Amborella trichopoda	13333	YES	31382	100	31282	0	0	0	0.9968
Archaeplastida-Angiosperm	Oryza sativa	Oryza sativa Japonica Group	39947	YES	42964	4870	38041	0	53	0	0.8854
Cryptista	Guillardia theta	Guillardia theta CCMP2712	905079	YES	24822	0	24822	0	0	0	1.0000
Haptophyta-Haptista	Emiliania huxleyi	Emiliania huxleyi CCMP1516	280463	YES	38554	0	38554	0	0	0	1.0000
Asgard_Archaea	Candidatus Lokiarchaeum ossiferum	Candidatus Lokiarchaeum ossiferum	2951803	YES	9293	0	0	9293	0	0	0.0000
Asgard_Archaea	Promethearchaeum syntrophicum	Promethearchaeum syntrophicum	2594042	YES	3859	0	0	3859	0	0	0.0000
